vote_type,pop_group,amount,fill
Navy,1797,32.09,#777367
Pensions,1797,0,#292323
Civil,1797,5.8,#eac85c
Indians,1797,7.44,#fee6a9
Foreign,1797,0,#d69083
Miscellaneous,1797,1.93,#787734
Premium on Pub. Debt.,1797,1.1,#886a6d
Principle of Pub.,1797,4,#a1aba6
Debt Interest on Pub. Debt.,1797,11.96,#ddd9cb
Army,1796,43.05,#aea596
Navy,1796,22.85,#777367
Pensions,1796,0,#292323
Civil,1796,6.15,#eac85c
Indians,1796,2.76,#fee6a9
Foreign,1796,1.38,#d69083
Miscellaneous,1796,1.93,#787734
Premium on Pub. Debt.,1796,1.52,#886a6d
Principle of Pub.,1796,3.58,#a1aba6
Debt Interest on Pub. Debt.,1796,16.78,#ddd9cb
Army,1795,40.18,#aea596
Navy,1795,0,#777367
Pensions,1795,0,#292323
Civil,1795,5.14,#eac85c
Indians,1795,12.4,#fee6a9
Foreign,1795,0.28,#d69083
Miscellaneous,1795,1.11,#787734
Premium on Pub. Debt.,1795,1.37,#886a6d
Principle of Pub.,1795,5.8,#a1aba6
Debt Interest on Pub. Debt.,1795,33.72,#ddd9cb
Army,1794,42.06,#aea596
Navy,1794,0,#777367
Pensions,1794,0,#292323
Civil,1794,7.17,#eac85c
Indians,1794,2.71,#fee6a9
Foreign,1794,0.28,#d69083
Miscellaneous,1794,1.79,#787734
Premium on Pub. Debt.,1794,1.24,#886a6d
Principle of Pub.,1794,1.11,#a1aba6
Debt Interest on Pub. Debt.,1794,43.64,#ddd9cb
Army,1793,36.07,#aea596
Navy,1793,33.95,#777367
Pensions,1793,0,#292323
Civil,1793,6.01,#eac85c
Indians,1793,1.84,#fee6a9
Foreign,1793,0.42,#d69083
Miscellaneous,1793,0.55,#787734
Premium on Pub. Debt.,1793,1.65,#886a6d
Principle of Pub.,1793,0,#a1aba6
Debt Interest on Pub. Debt.,1793,19.51,#ddd9cb
Army,1792,55.55,#aea596
Navy,1792,0,#777367
Pensions,1792,0,#292323
Civil,1792,9,#eac85c
Indians,1792,2.02,#fee6a9
Foreign,1792,0.69,#d69083
Miscellaneous,1792,4.28,#787734
Premium on Pub. Debt.,1792,2.34,#886a6d
Principle of Pub.,1792,0,#a1aba6
Debt Interest on Pub. Debt.,1792,26.12,#ddd9cb
